ABW,Aruba,Latin America and the Caribbean,Americas
AFG,Afghanistan,Southern Asia,Asia
AGO,Angola,Sub-Saharan Africa,Africa
AIA,Anguilla,Latin America and the Caribbean,Americas
ALA,Åland Islands,Northern Europe,Europe
ALB,Albania,Southern Europe,Europe
AND,Andorra,Southern Europe,Europe
ARE,United Arab Emirates,Western Asia,Asia
ARG,Argentina,Latin America and the Caribbean,Americas
ARM,Armenia,Western Asia,Asia
ASM,American Samoa,Polynesia,Oceania
ATA,Antarctica,,
ATF,French Southern Territories,Sub-Saharan Africa,Africa
ATG,Antigua and Barbuda,Latin America and the Caribbean,Americas
AUS,Australia,Australia and New Zealand,Oceania
AUT,Austria,Western Europe,Europe
AZE,Azerbaijan,Western Asia,Asia
BDI,Burundi,Sub-Saharan Africa,Africa
BEL,Belgium,Western Europe,Europe
BEN,Benin,Sub-Saharan Africa,Africa
BFA,Burkina Faso,Sub-Saharan Africa,Africa
BGD,Bangladesh,Southern Asia,Asia
BGR,Bulgaria,Eastern Europe,Europe
BHR,Bahrain,Western Asia,Asia
BHS,Bahamas,Latin America and the Caribbean,Americas
BIH,Bosnia and Herzegovina,Southern Europe,Europe
BLM,Saint Barthélemy,Latin America and the Caribbean,Americas
BLR,Belarus,Eastern Europe,Europe
BLZ,Belize,Latin America and the Caribbean,Americas
BMU,Bermuda,Northern America,Americas
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas
BQ,Bonaire,Latin America and the Caribbean,Americas
BRA,Brazil,Latin America and the Caribbean,Americas
BRB,Barbados,Latin America and the Caribbean,Americas
BRN,Brunei Darussalam,South-eastern Asia,Asia
BTN,Bhutan,Southern Asia,Asia
BVT,Bouvet Island,Latin America and the Caribbean,Americas
BWA,Botswana,Sub-Saharan Africa,Africa
CAF,Central African Republic,Sub-Saharan Africa,Africa
CAN,Canada,Northern America,Americas
CCK,Cocos (Keeling) Islands,Australia and New Zealand,Oceania
CHE,Switzerland,Western Europe,Europe
CHL,Chile,Latin America and the Caribbean,Americas
CHN,China,Eastern Asia,Asia
CIV,Côte d’Ivoire,Sub-Saharan Africa,Africa
CMR,Cameroon,Sub-Saharan Africa,Africa
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa
COG,Congo,Sub-Saharan Africa,Africa
COK,Cook Islands,Polynesia,Oceania
COL,Colombia,Latin America and the Caribbean,Americas
COM,Comoros,Sub-Saharan Africa,Africa
CPV,Cabo Verde,Sub-Saharan Africa,Africa
CRI,Costa Rica,Latin America and the Caribbean,Americas
CRQ,Sark,Northern Europe,Europe
CUB,Cuba,Latin America and the Caribbean,Americas
CUW,Curaçao,Latin America and the Caribbean,Americas
CXR,Christmas Island,Australia and New Zealand,Oceania
CYM,Cayman Islands,Latin America and the Caribbean,Americas
CYP,Cyprus,Western Asia,Asia
CZE,Czechia,Eastern Europe,Europe
DEU,Germany,Western Europe,Europe
DJI,Djibouti,Sub-Saharan Africa,Africa
DMA,Dominica,Latin America and the Caribbean,Americas
DNK,Denmark,Northern Europe,Europe
DOM,Dominican Republic,Latin America and the Caribbean,Americas
DZA,Algeria,Northern Africa,Africa
ECU,Ecuador,Latin America and the Caribbean,Americas
EGY,Egypt,Northern Africa,Africa
ERI,Eritrea,Sub-Saharan Africa,Africa
ESH,Western Sahara,Northern Africa,Africa
ESP,Spain,Southern Europe,Europe
EST,Estonia,Northern Europe,Europe
ETH,Ethiopia,Sub-Saharan Africa,Africa
FIN,Finland,Northern Europe,Europe
FJI,Fiji,Melanesia,Oceania
FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,Americas
FRA,France,Western Europe,Europe
FRO,Faroe Islands,Northern Europe,Europe
FSM,Micronesia (Federated States of),Micronesia,Oceania
GAB,Gabon,Sub-Saharan Africa,Africa
GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe
GEO,Georgia,Western Asia,Asia
GGY,Guernsey,Northern Europe,Europe
GHA,Ghana,Sub-Saharan Africa,Africa
GIB,Gibraltar,Southern Europe,Europe
GIN,Guinea,Sub-Saharan Africa,Africa
GLP,Guadeloupe,Latin America and the Caribbean,Americas
GMB,Gambia,Sub-Saharan Africa,Africa
GNB,Guinea-Bissau,Sub-Saharan Africa,Africa
GNQ,Equatorial Guinea,Sub-Saharan Africa,Africa
GRC,Greece,Southern Europe,Europe
GRD,Grenada,Latin America and the Caribbean,Americas
GRL,Greenland,Northern America,Americas
GTM,Guatemala,Latin America and the Caribbean,Americas
GUF,French Guiana,Latin America and the Caribbean,Americas
GUM,Guam,Micronesia,Oceania
GUY,Guyana,Latin America and the Caribbean,Americas
HK,China,Eastern Asia,Asia
HMD,Heard Island and McDonald Islands,Australia and New Zealand,Oceania
HND,Honduras,Latin America and the Caribbean,Americas
HRV,Croatia,Southern Europe,Europe
HTI,Haiti,Latin America and the Caribbean,Americas
HUN,Hungary,Eastern Europe,Europe
IDN,Indonesia,South-eastern Asia,Asia
IMN,Isle of Man,Northern Europe,Europe
IND,India,Southern Asia,Asia
IOT,British Indian Ocean Territory,Sub-Saharan Africa,Africa
IRL,Ireland,Northern Europe,Europe
IRN,Iran (Islamic Republic of),Southern Asia,Asia
IRQ,Iraq,Western Asia,Asia
ISL,Iceland,Northern Europe,Europe
ISR,Israel,Western Asia,Asia
ITA,Italy,Southern Europe,Europe
JAM,Jamaica,Latin America and the Caribbean,Americas
JEY,Jersey,Northern Europe,Europe
JOR,Jordan,Western Asia,Asia
JPN,Japan,Eastern Asia,Asia
KAZ,Kazakhstan,Central Asia,Asia
KEN,Kenya,Sub-Saharan Africa,Africa
KGZ,Kyrgyzstan,Central Asia,Asia
KHM,Cambodia,South-eastern Asia,Asia
KIR,Kiribati,Micronesia,Oceania
KNA,Saint Kitts and Nevis,Latin America and the Caribbean,Americas
KOR,Republic of Korea,Eastern Asia,Asia
KWT,Kuwait,Western Asia,Asia
LAO,Lao People's Democratic Republic,South-eastern Asia,Asia
LBN,Lebanon,Western Asia,Asia
LBR,Liberia,Sub-Saharan Africa,Africa
LBY,Libya,Northern Africa,Africa
LCA,Saint Lucia,Latin America and the Caribbean,Americas
LIE,Liechtenstein,Western Europe,Europe
LKA,Sri Lanka,Southern Asia,Asia
LSO,Lesotho,Sub-Saharan Africa,Africa
LTU,Lithuania,Northern Europe,Europe
LUX,Luxembourg,Western Europe,Europe
LVA,Latvia,Northern Europe,Europe
MAF,Saint Martin (French Part),Latin America and the Caribbean,Americas
MAR,Morocco,Northern Africa,Africa
MCO,Monaco,Western Europe,Europe
MDA,Republic of Moldova,Eastern Europe,Europe
MDG,Madagascar,Sub-Saharan Africa,Africa
MDV,Maldives,Southern Asia,Asia
MEX,Mexico,Latin America and the Caribbean,Americas
MHL,Marshall Islands,Micronesia,Oceania
MKD,North Macedonia,Southern Europe,Europe
MLI,Mali,Sub-Saharan Africa,Africa
MLT,Malta,Southern Europe,Europe
MMR,Myanmar,South-eastern Asia,Asia
MNE,Montenegro,Southern Europe,Europe
MNG,Mongolia,Eastern Asia,Asia
MNP,Northern Mariana Islands,Micronesia,Oceania
MO,China,Eastern Asia,Asia
MOZ,Mozambique,Sub-Saharan Africa,Africa
MRT,Mauritania,Sub-Saharan Africa,Africa
MSR,Montserrat,Latin America and the Caribbean,Americas
MTQ,Martinique,Latin America and the Caribbean,Americas
MUS,Mauritius,Sub-Saharan Africa,Africa
MWI,Malawi,Sub-Saharan Africa,Africa
MYS,Malaysia,South-eastern Asia,Asia
MYT,Mayotte,Sub-Saharan Africa,Africa
NAM,Namibia,Sub-Saharan Africa,Africa
NCL,New Caledonia,Melanesia,Oceania
NER,Niger,Sub-Saharan Africa,Africa
NFK,Norfolk Island,Australia and New Zealand,Oceania
NGA,Nigeria,Sub-Saharan Africa,Africa
NIC,Nicaragua,Latin America and the Caribbean,Americas
NIU,Niue,Polynesia,Oceania
NLD,Netherlands,Western Europe,Europe
NOR,Norway,Northern Europe,Europe
NPL,Nepal,Southern Asia,Asia
NRU,Nauru,Micronesia,Oceania
NZL,New Zealand,Australia and New Zealand,Oceania
OMN,Oman,Western Asia,Asia
PAK,Pakistan,Southern Asia,Asia
PAN,Panama,Latin America and the Caribbean,Americas
PCN,Pitcairn,Polynesia,Oceania
PER,Peru,Latin America and the Caribbean,Americas
PHL,Philippines,South-eastern Asia,Asia
PLW,Palau,Micronesia,Oceania
PNG,Papua New Guinea,Melanesia,Oceania
POL,Poland,Eastern Europe,Europe
PRI,Puerto Rico,Latin America and the Caribbean,Americas
PRK,Democratic People's Republic of Korea,Eastern Asia,Asia
PRT,Portugal,Southern Europe,Europe
PRY,Paraguay,Latin America and the Caribbean,Americas
PSE,State of Palestine,Western Asia,Asia
PYF,French Polynesia,Polynesia,Oceania
QAT,Qatar,Western Asia,Asia
REU,Réunion,Sub-Saharan Africa,Africa
ROU,Romania,Eastern Europe,Europe
RUS,Russian Federation,Eastern Europe,Europe
RWA,Rwanda,Sub-Saharan Africa,Africa
SAU,Saudi Arabia,Western Asia,Asia
SDN,Sudan,Northern Africa,Africa
SEN,Senegal,Sub-Saharan Africa,Africa
SGP,Singapore,South-eastern Asia,Asia
SGS,South Georgia and the South Sandwich Islands,Latin America and the Caribbean,Americas
SHN,Saint Helena,Sub-Saharan Africa,Africa
SJM,Svalbard and Jan Mayen Islands,Northern Europe,Europe
SLB,Solomon Islands,Melanesia,Oceania
SLE,Sierra Leone,Sub-Saharan Africa,Africa
SLV,El Salvador,Latin America and the Caribbean,Americas
SMR,San Marino,Southern Europe,Europe
SOM,Somalia,Sub-Saharan Africa,Africa
SPM,Saint Pierre and Miquelon,Northern America,Americas
SRB,Serbia,Southern Europe,Europe
SSD,South Sudan,Sub-Saharan Africa,Africa
STP,Sao Tome and Principe,Sub-Saharan Africa,Africa
SUR,Suriname,Latin America and the Caribbean,Americas
SVK,Slovakia,Eastern Europe,Europe
SVN,Slovenia,Southern Europe,Europe
SWE,Sweden,Northern Europe,Europe
SWZ,Eswatini,Sub-Saharan Africa,Africa
SXM,Sint Maarten (Dutch part),Latin America and the Caribbean,Americas
SYC,Seychelles,Sub-Saharan Africa,Africa
SYR,Syrian Arab Republic,Western Asia,Asia
TCA,Turks and Caicos Islands,Latin America and the Caribbean,Americas
TCD,Chad,Sub-Saharan Africa,Africa
TGO,Togo,Sub-Saharan Africa,Africa
THA,Thailand,South-eastern Asia,Asia
TJK,Tajikistan,Central Asia,Asia
TKL,Tokelau,Polynesia,Oceania
TKM,Turkmenistan,Central Asia,Asia
TLS,Timor-Leste,South-eastern Asia,Asia
TON,Tonga,Polynesia,Oceania
TTO,Trinidad and Tobago,Latin America and the Caribbean,Americas
TUN,Tunisia,Northern Africa,Africa
TUR,Turkey,Western Asia,Asia
TUV,Tuvalu,Polynesia,Oceania
TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa
UGA,Uganda,Sub-Saharan Africa,Africa
UKR,Ukraine,Eastern Europe,Europe
UMI,United States Minor Outlying Islands,Micronesia,Oceania
URY,Uruguay,Latin America and the Caribbean,Americas
USA,United States of America,Northern America,Americas
UZB,Uzbekistan,Central Asia,Asia
VAT,Holy See,Southern Europe,Europe
VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas
VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas
VGB,British Virgin Islands,Latin America and the Caribbean,Americas
VIR,United States Virgin Islands,Latin America and the Caribbean,Americas
VNM,Viet Nam,South-eastern Asia,Asia
VUT,Vanuatu,Melanesia,Oceania
WSM,Samoa,Polynesia,Oceania
YEM,Yemen,Western Asia,Asia
ZAF,South Africa,Sub-Saharan Africa,Africa
ZMB,Zambia,Sub-Saharan Africa,Africa
ZWE,Zimbabwe,Sub-Saharan Africa,Africa
